Name,Beta,Jensen Alpha,Sharpe Ratio,Treynor Ratio,Tracking Error,AUM
Insight 11,0.000000,0.000000,-2.492685,0.000000,-0.019558,64125338879.120003
MANULIFE DANA TETAP UTAMA,0.631795,-0.053515,-1.096491,-0.112622,-0.043235,3650290069178.000000
Danareksa Syariah Berimbang,0.568663,0.010526,0.083742,0.014676,0.012179,43528645171.480003
REKSA DANA TERPROTEKSI CIPTA PROTEKSI DINAMIS III,0.000000,0.000000,-2.169584,0.000000,-0.002034,99992436018.750000
REKSA DANA TREASURE SAHAM MANTAP,0.830422,0.392064,1.245617,0.623511,0.366392,631285681432.459961
KEHATI LESTARI KELAS G,0.941246,-0.032070,-2.360018,-0.061991,-0.030429,123320693464.380005
Valbury Capital Protected V,0.000000,0.000000,-2.294065,0.000000,-0.018565,26397673443.990002
BNI-AM Prioritas Optima,1.021796,-0.088127,-2.714346,-0.114166,-0.088735,173720017752.890015
SYAILENDRA EQUITY MOMENTUM FUND,1.117417,-0.050887,0.627162,0.087146,-0.035307,124719311057.789993
BNP PARIBAS OBLIGASI PLUS,0.542619,0.002238,-0.892161,-0.023795,0.015007,780969874341.199951
PACIFIC EQUITY GROWTH FUND V,0.390863,0.052644,1.088943,0.286071,-0.039570,155689084212.670013
BAHANA DANA INFRASTRUKTUR,0.744708,-0.232070,-1.032398,-0.160241,-0.270718,14493578901.020000
Ashmore Dana Ekuitas Prima,1.146389,0.011035,1.198390,0.161011,0.033196,312175294490.979980
Bahana Core Protected Fund USD 1,0.000000,0.000000,0.665278,0.000000,0.195247,10874178.837160
Mega Asset Terproteksi 14,0.000000,0.000000,-1.770663,0.000000,0.000021,50561734917.650002
SHINHAN EQUITY GROWTH,0.599783,0.083416,1.482730,0.290462,0.022829,26990919072.389999
Capital Sharia Balanced,0.011554,-0.017512,-0.100088,-1.519588,-0.013723,14852392955.200001
SYARIAH BATAVIA PENDAPATAN TETAP UTAMA SYARIAH,0.421752,-0.022169,-2.130570,-0.080484,-0.006025,111069799499.380005
KISI MSCI Indonesia ETF,1.178294,0.031803,1.333681,0.178375,0.058794,432908482053.849976
